chrom	gene	start	end
1	CCDC163P	45959538	45965751
1	CCDC24	44457031	44462200
1	NBPF15	148555979	148596267
1	C1orf50	43232940	43263968
1	PPFIA4	202995626	203047868
1	CAP1	40505905	40538321
1	MMACHC	45965725	45976739
1	PRDX1	45976708	45988719
1	CCDC23	43272723	43282954
1	IFRG15	179833916	179834311
1	SLC6A9	44457172	44497139
1	ERMAP	43282795	43310660
1	NBPF16	148739443	148758311
1	MYOG	203052260	203055164
1	AKR1A1	46016215	46035721
1	ADORA1	203059782	203136533
1	HIST2H3PS2	149400131	149400542
1	ZNF691	43312280	43318148
1	MYBPH	203136939	203144941
1	FAM72C	149438750	149459549
1	PPIAL4C	149553003	149553787
1	FAM231D	149675978	149676609
1	FCGR1A	149754227	149764074
1	CHI3L1	203148059	203155877
1	SLC2A1	43391052	43424530
1	HIST2H2BF	149754245	149783928
1	HIST2H3D	149784826	149785236
1	PPT1	40538379	40563375
1	HIST2H4A	149804221	149811339
1	CHIT1	203181955	203242769
1	HIST2H3C	149811110	149812765
1	HIST2H2AA3	149813505	149814478
1	USP48	22004791	22110099
1	HIST2H2AA4	149822643	149823191
1	FAM183A	43610824	43622067
1	HIST2H3A	149824181	149825836
1	KLF17	44584522	44600812
1	HIST2H4B	149825607	149832714
1	EBNA1BP2	43629846	43736607
1	HIST2H2BE	149856010	149858232
1	BTG2	203274619	203278730
1	NASP	46049518	46084566
1	HIST2H2AC	149858525	149858961
1	DMAP1	44679127	44686353
1	HIST2H2AB	149859019	149859466
1	FMOD	203309756	203320617
1	BOLA1	149859440	149872351
1	PRELP	203444956	203460480
1	RLF	40627045	40706593
1	OPTC	203463271	203477992
1	SV2A	149874870	149889434
1	TMCO2	40711619	40717363
1	WDR65	43637820	43720029
1	ZMPSTE24	40723779	40759856
1	ATP2B4	203595689	203713209
1	SF3B4	149895209	149900236
1	COL9A2	40766159	40783488
1	LAX1	203734304	203745361
1	TMEM125	43735665	43739673
1	ERI3	44686742	44820932
1	ZC3H11A	203764782	203823252
1	C1orf210	43747554	43751288
1	LDLRAD2	22138758	22151714
1	TIE1	43766664	43788779
1	CCDC17	46085716	46089729
1	ZBED6	203765437	203769686
1	SNRPE	203830731	203839678
1	HSPG2	22148738	22263790
1	MTMR11	149900543	149908791
1	SOX13	204042243	204096863
1	GPBP1L1	46092976	46153785
1	ETNK2	204100190	204121307
1	MPL	43803478	43818443
1	RNF220	44870866	45117396
1	TMEM69	46152886	46160115
1	IPP	46159996	46216322
1	SMAP2	40810522	40888998
1	CDC20	43824626	43828874
1	REN	204123944	204135465
1	MAST2	46252659	46501796
1	KISS1	204159469	204165614
1	GOLT1A	204167288	204183220
1	OTUD7B	149909705	149982625
1	PLEKHA6	204187979	204346793
1	ELOVL1	43829068	43833696
1	PPP1R15B	204372515	204380919
1	ZFP69B	40915774	40929390
1	PIK3C2B	204391756	204463852
1	ZFP69	40942887	40962015
1	MED8	43849588	43855479
1	EXO5	40974413	40982228
1	PIK3R3	46505812	46642160
1	TMEM53	45100910	45140227
1	CELA3B	22303514	22325135
1	VPS45	150039369	150117505
1	ZNF684	40997233	41013841
1	CELA3A	22328149	22339032
1	TSPAN1	46640745	46651630
1	SZT2	43855553	43918321
1	C1orf228	45140364	45191263
1	CDC42	22379120	22419437
1	MDM4	204485511	204542871
1	RIMS3	41086351	41131329
1	POMGNT1	46654354	46685977
1	LRRN2	204586298	204654861
1	NFYC	41157320	41237275
1	WNT4	22443798	22470462
1	ZBTB40	22778344	22857650
1	KIF2C	45205490	45233439
1	PLEKHO1	150121373	150136916
1	EPHA8	22890057	22930087
1	LURAP1	46669006	46686933
1	RAD54L	46713360	46744145
1	LRRC41	46726868	46769280
