name	name2	chrom	cdsStart	cdsEnd
NM_001005484	OR4F5	chr1	69090	70008
NM_001005221	OR4F29	chr1	450739	451678
NM_001005224	OR4F3	chr1	450739	451678
NM_001005277	OR4F16	chr1	450739	451678
NM_001005221	OR4F29	chr1	685715	686654
NM_001005224	OR4F3	chr1	685715	686654
NM_001005277	OR4F16	chr1	685715	686654
NM_152486	SAMD11	chr1	925941	944153
NM_198066	GNPNAT1	chr14	52778310	52784650
NM_001164315	ANKRD36	chr2	97113739	97250167
NM_018242	SLC47A1	chr17	19533939	19577553
NM_001291366	PERM1	chr1	976171	981029
NM_001291367	PERM1	chr1	976171	982117
NM_001308070	HCFC1R1	chr16	3022862	3023505
NM_001305275	AGRN	chr1	1020172	1054981
NM_199342	SVBP	chr1	42807413	42816544
NM_199296	ISM2	chr14	77475594	77498793
NM_199263	THSD1	chr13	52377410	52402600
NM_001348206	LINC02054	chr3	184401643	184439392
NM_198576	AGRN	chr1	1020172	1054981
NM_001197331	POLE2	chr14	49650252	49688203
NM_016548	GOLM1	chr9	86027816	86079320
NM_001349146	B3GALNT1	chr3	161085758	161086754
NM_152446	CEP128	chr14	80497478	80916547
NM_020985	CHAT	chr10	49616569	49665046
NM_024767	DLC1	chr8	13305224	13500071
NM_203287	PSG11	chr19	43009997	43026372
NM_001142633	PIK3R5	chr17	8880638	8911494
NM_001349364	CDKL3	chr5	134298676	134308723
NM_001271015	UBE2W	chr8	73780479	73878909
NM_001282701	FAM107B	chr10	14521189	14530459
NM_001286164	ASTN1	chr1	176857610	177164676
NM_001044388	ZNF557	chr19	7075074	7083744
NM_152228	TAS1R3	chr1	1331345	1334464
NM_001622	AHSG	chr3	186613141	186620930
NM_018315	FBXW7	chr4	152322880	152352730
NM_033272	KCNH7	chr2	162371828	162838518
NM_001184993	RNF17	chr13	24764203	24879285
NM_001319677	TMEM39B	chr1	32076792	32102673
NM_001319679	TMEM39B	chr1	32091681	32102673
NM_001350497	CCNL2	chr1	1387230	1390858
NM_001145210	ANKRD65	chr1	1419099	1421005
NM_001242834	NDRG4	chr16	58500248	58511576
NM_001243536	ANKRD65	chr1	1419541	1421005
NM_022834	VWA1	chr1	1435748	1439787
NM_018147	FAIM	chr3	138621428	138633079
NM_001317975	NOP16	chr5	176384230	176388435
NM_016026	RDH11	chr14	67678320	67695703
NM_006759	UGP2	chr2	63842185	63891227
NM_001114748	TMEM240	chr1	1535358	1540346
NM_013387	UQCR10	chr22	29767398	29769719
NM_001184967	MITF	chr3	69879185	69965248
NM_024967	ZNF556	chr19	2867421	2878329
NM_001346299	MICAL2	chr11	12162155	12262520
NM_004193	GBF1	chr10	102258938	102382336
NM_001291345	CDK11B	chr1	1635763	1657485
NM_001787	CDK11B	chr1	1635763	1657485
NM_052944	SLC5A11	chr16	24858643	24911533
NM_033487	CDK11B	chr1	1635763	1641987
NM_058241	CCNT2	chr2	134918854	134954648
NM_053051	CNTROB	chr17	7933079	7949510
NM_033490	CDK11B	chr1	1635763	1642488
NM_001110781	SLC35E2B	chr1	1665781	1676699
NM_001290264	SLC35E2B	chr1	1665781	1676699
NM_001318031	SALL4	chr20	51784264	51802408
NM_001317931	SPAG4	chr20	35616215	35621022
NM_001318710	KIFC3	chr16	57759148	57803012
NM_018569	AP1AR	chr4	112232091	112268409
NM_007300	BRCA1	chr17	43045677	43124096
NM_182838	SLC35E2	chr1	1732454	1739557
NM_001198995	NADK	chr1	1752903	1758531
NM_025040	ZNF614	chr19	52015839	52025745
NM_001198993	NADK	chr1	1752903	1765406
NM_001198994	NADK	chr1	1752903	1765406
NM_001282560	EYA3	chr1	27977281	28058026
NM_001282568	ZCCHC17	chr1	31310098	31364193
NM_001780	CD63	chr12	55725560	55728341
NM_001290049	USO1	chr4	75724819	75813295
NM_001289031	GALK2	chr15	49201180	49328159
NM_001321594	DET1	chr15	88512950	88536334
NM_001321592	CAMK2D	chr4	113755040	113761068
NM_001256093	ATF2	chr2	175074859	175130162
NM_001321747	FAM168B	chr2	131052902	131082646
NM_001321746	FAM168B	chr2	131052902	131082646
NM_001330244	ARL17A	chr17	45515228	45515259
NM_001256945	FAAP20	chr1	2185277	2194749
NM_001282671	FAAP20	chr1	2185277	2186211
NM_001282672	FAAP20	chr1	2185277	2186211
NM_001282667	MICAL2	chr11	12162155	12260172
NM_001146310	FAAP20	chr1	2185277	2201098
NM_001282670	FAAP20	chr1	2189708	2198988
NM_001286242	GTF3C1	chr16	27461349	27549890
NM_178584	SEPT10	chr2	109544308	109613827
NM_004098	EMX2	chr10	117543267	117548232
NM_001291398	WASHC2A	chr10	50068005	50132945
NM_001313741	ATP8A2	chr13	25469020	26019985
NM_004991	MECOM	chr3	169084908	169663372
NM_003820	TNFRSF14	chr1	2556664	2563273
NM_001349775	DCAF6	chr1	167987497	168075435
NM_001198845	RBM14-RBM4	chr11	66616720	66644132
NM_080431	ACTRT2	chr1	3021686	3022820
NM_015866	PRDM2	chr1	13715605	13786527
NM_139323	YWHAB	chr20	44901533	44906438
NM_176783	PSME1	chr14	24136262	24138644
NM_006584	CCT6B	chr17	34928047	34961393
NM_003181	T	chr6	166158314	166167591
NM_003265	TLR3	chr4	186076619	186084873
NM_006076	AGFG2	chr7	100539346	100564991
NM_006074	TRIM22	chr11	5696232	5709648
NM_006989	RASA4	chr7	102582770	102616689
NM_001174045	SPAM1	chr7	123953570	123959969
NM_004027	INPP4A	chr2	98520048	98587608
NM_001388	DRG2	chr17	18088023	18107240
NM_001174060	OSBPL10	chr3	31662071	31981179
NM_001174046	SPAM1	chr7	123953570	123959969
NM_001349864	PLA2G6	chr22	38112160	38169426
NM_152492	CCDC27	chr1	3752481	3771523
NM_001284291	CBLL1	chr7	107744163	107759178
NM_001284290	GUSB	chr7	65960896	65982183
NM_005243	EWSR1	chr22	29268336	29300161
NM_001293195	MUTYH	chr1	45329305	45334505
NM_001329122	FCGR3A	chr1	161543011	161550051
NM_001323625	ACP6	chr1	147648176	147670048
NM_001190965	ZMYM2	chr13	19993072	20086014
NM_014774	EFCAB14	chr1	46678460	46718087
NM_147148	GSTM4	chr1	109656389	109665031
NM_145005	C9orf72	chr9	27561580	27567120
NM_144778	MBNL2	chr13	97276235	97391336
NM_145639	APOL3	chr22	36141199	36149055
NM_018153	ANTXR1	chr2	69013499	69145376
