chrom	gene	start	end
1	OR2T10	248590487	248597700
1	OR2M4	248231417	248244679
1	RABGGTB	75786197	75795079
1	PPOX	161166410	161178013
1	LENEP	154993586	154994315
1	COX20	244835322	244845057
1	APOBEC4	183646404	183653316
1	COLGALT2	183929854	184037729
1	CCDC24	43991359	43996528
1	TSEN15	184051651	184123978
1	CRYZ	74705482	74733408
1	SHC1	154962298	154974395
1	C1orf21	184387058	184629020
1	EDEM3	184690231	184754913
1	ITLN1	160876539	160885170
1	TYW3	74733152	74766678
1	FGR	27612064	27635277
1	FAM129A	184790724	184974550
1	ITLN2	160945025	160954799
1	RNF2	185045364	185102608
1	LHX8	75128434	75161533
1	TRMT1L	185118098	185157072
1	AL591806.3	160997957	161038962
1	TSTD1	161037631	161038990
1	F11R	160995211	161021348
1	SWT1	185157080	185291765
1	MTX1	155208699	155213824
1	AL713999.1	155169409	155187272
1	OR2T35	248636356	248645278
1	PYGO2	154957026	154963853
1	SLC6A9	43991500	44031467
1	PMVK	154924734	154936991
1	AL451007.3	244729898	244730962
1	PLEKHM2	15684332	15734769
1	MTRNR2L11	237943724	237945275
1	QSOX1	180154834	180204030
1	TOR1AIP1	179882042	179925000
1	LRRIQ3	74026015	74198187
1	LYST	235661041	235883640
1	CRP	159712289	159714589
1	C1orf43	154206696	154220637
1	IRF2BP2	234604269	234609525
1	GSTM3	109733932	109741038
1	EPS8L3	109750080	109764027
1	OR6N2	158774222	158781204
1	SIPA1L2	232397965	232561558
1	OLFM3	101802574	101997030
1	TSNAX-DISC1	231528653	231819244
1	GSTM4	109656081	109674836
1	GJA9-MYCBP	38864501	38881617
1	MYCBP	38862964	38874105
1	KLHL20	173714941	173786702
1	TENT5B	27005020	27012836
1	TNFSF18	173039960	173050963
1	FAM89A	231018958	231040246
1	METTL18	169792529	169794966
1	PLA2G2F	20139326	20150386
1	GADD45A	67685061	67688338
1	XCL2	168540765	168543997
1	XCL1	168576473	168582077
1	NPR1	153678637	153693992
1	MRPL24	156737303	156741590
1	DPT	168695459	168729264
1	MCL1	150574551	150579738
1	ADAMTSL4	150549369	150560937
1	CCDC181	169394870	169460669
1	SLC2A5	9035107	9088478
1	NME7	169132531	169367967
1	INPP5B	37860697	37947057
1	HDGF	156742107	156766925
1	CSF1	109910242	109930992
1	MAST2	45786987	46036124
1	SETDB1	150926263	150964744
1	GPN2	26876133	26890297
1	GPBP1L1	45627304	45688113
1	GNPAT	231241207	231277973
1	PINK1	20633455	20651511
1	PGBD5	230314482	230426371
1	GALNT2	230057990	230282124
1	TBX19	168281040	168314426
1	LINGO4	151800264	151806154
1	CELSR2	109250019	109275750
1	SLC35A3	99969351	100035637
1	C1orf226	162366908	162386818
1	RAB25	156061160	156070514
1	RNF223	1070966	1074307
1	CEP85	26234200	26278808
1	ICMT	6221193	6235972
1	PHC2	33323623	33431052
1	CNKSR1	26177403	26189886
1	RAB3GAP2	220148293	220272454
1	ZNF687	151281618	151292180
1	LIN28A	26410778	26429722
1	PIP5K1A	151197949	151249536
1	PAQR7	25861210	25871253
1	BTBD19	44808482	44815585
1	PLXNA2	208022242	208244320
1	FUBP1	77944055	77979110
1	DAP3	155687960	155739010
1	UBE4B	10032832	10181239
1	RBP7	9997206	10016020
1	ST6GALNAC3	76074719	76634601
1	SLC50A1	155135344	155138857
1	NMNAT1	9943428	9985501
1	OR2G6	248508073	248527337
1	OR2L13	248095184	248101103
1	DCST2	155018520	155033781
1	ZBTB7B	155002630	155018522
1	NLRP3	247416156	247449108
1	ZNF695	246945547	247008093
1	OCLM	186400572	186401455
1	TFB2M	246540560	246566324
1	FBLIM1	15756607	15786594
1	DESI2	244652935	244709033
1	UBE2Q1	154548577	154559028
1	LRRC53	74469878	74512614
1	CLSTN1	9729026	9824526
1	AL672043.1	46175486	46176478
1	AL358075.4	46043661	46176488
1	AHCYL1	109984686	110023741
1	S1PR1	101236865	101243713
1	OR10K1	158461574	158470857
1	RPS27	153990755	153992155
1	ACOT7	6264269	6394391
1	CD1A	158254137	158258269
1	GPR157	9100305	9129170
1	GNG12	67701466	67833467
1	WLS	68098473	68233120
1	MCOLN3	85018082	85048499
1	TBX15	118883046	118989556
