gene	canonical	chrom	start	end
TRIM13	NM_213590	13	50571142	50592603
PRMT1	NM_001536	19	50180408	50191707
LYRM2	NM_020466	6	90341942	90348474
NDRG4	NM_001130487	16	58497548	58547523
OR2V2	NM_206880	5	180581942	180582890
NHSL1	NM_020464	6	138743180	138893668
SLC13A3	NM_001011554	20	45186461	45313124
ASTN2	NM_014010	9	119187503	120177317
OSTN	NM_198184	3	190930321	190967910
UBE2L6	NM_198183	11	57319127	57335803
GRHL1	NM_198182	2	10091791	10142412
GOLGA6L9	NM_198181	15	82722184	83108111
CLEC1A	NM_016511	12	10223079	10251605
SCLY	NM_016510	2	238969564	239008054
GPR85	NM_001146265	7	112720467	112727833
STAU2	NM_001164384	8	74332603	74659943
ASIC1	NM_020039	12	50451419	50477405
PDIA3	NM_005313	15	44038589	44064804
POLRMT	NM_005035	19	617222	633568
WRB	NM_004627	21	40752212	40769815
CDH18	NM_004934	5	19473154	19988353
COMMD3	NM_012071	10	22605311	22609246
ATP1B4	NM_001142447	X	119495939	119517104
TIGD5	NM_032862	8	144680073	144682485
TSG101	NM_006292	11	18501857	18548503
MOGS	NM_006302	2	74688183	74692537
TNFAIP2	NM_006291	14	103592663	103603776
LINGO2	NM_152570	9	27948083	29212998
TMEM219	NM_001083613	16	29973350	29984373
ELMSAN1	NM_194278	14	74181824	74253896
LIN54	NM_194282	4	83845755	83934040
ZNF683	NM_001114759	1	26688124	26699266
PRR20B	NM_001130404	13	57715051	57744352
IFI27	NM_005532	14	94577078	94583033
CLP1	NM_006831	11	57425215	57429337
P4HA1	NM_001142595	10	74766979	74856732
AURKA	NM_198433	20	54944444	54967351
USP1	NM_003368	1	62901974	62917475
SGOL2	NM_152524	2	201390864	201448818
ST6GALNAC3	NM_152996	1	76540388	77096669
NRG1	NM_013960	8	31497267	32622558
TNRC6B	NM_001162501	22	40440820	40731812
GPC3	NM_001164617	X	132669775	133119673
PGPEP1L	NM_001167902	15	99511458	99551024
UTS2R	NM_018949	17	80332200	80333370
TEAD3	NM_003214	6	35441373	35464861
TEC	NM_003215	4	48137799	48271814
TEF	NM_003216	22	41763336	41795332
PCDHB4	NM_018938	5	140501580	140505201
PCDHB3	NM_018937	5	140480233	140483406
EXOSC4	NM_019037	8	145133521	145135551
HMGCLL1	NM_019036	6	55299170	55444012
PCDHB2	NM_018936	5	140474236	140476964
NFATC1	NM_006162	18	77155771	77289323
SAP130	NM_001145928	2	128698790	128784869
OR3A2	NM_002551	17	3181183	3182268
OR3A1	NM_002550	17	3194928	3195876
OR1D2	NM_002548	17	2995351	2996290
OPHN1	NM_002547	X	67262185	67653299
PPP1R8	NM_138558	1	28157251	28178183
SCAMP5	NM_001178111	15	75287875	75313836
FAM109A	NM_001177996	12	111798454	111806925
CD8B	NM_004931	2	87042459	87089047
ZFX	NM_001178085	X	24167761	24234372
CASR	NM_001178065	3	121902529	122005344
C2	NM_000063	6	31868775	31913449
PRKAR2B	NM_002736	7	106685177	106802256
PRKAR1B	NM_001164761	7	588833	767313
CD1E	NM_030893	1	158323485	158327343
SMN1	NM_000344	5	69345349	70248838
RBMXL2	NM_014469	11	7110164	7112379
CMTM5	NM_138460	14	23846016	23848981
DIAPH3	NM_001042517	13	60239720	60738119
TAX1BP1	NM_006024	7	27778991	27869386
EDC3	NM_001142443	15	74922898	74988386
RAPGEF1	NM_198679	9	134452156	134612925
RBM3	NM_006743	X	48432740	48439553
ORC3	NM_181837	6	88299784	88377172
STARD8	NM_001142503	X	67867510	67945684
SNPH	NM_014723	20	1246959	1289971
KIAA0391	NM_014672	14	35591526	35743284
SLC25A1	NM_001256534	22	19163087	19166338
MSTO1	NM_018116	1	155579960	155584758
CACNA1G	NM_018896	17	48638428	48704832
EPHX2	NM_001979	8	27348518	27402439
LOC100996634	NM_001277339	6	109557816	109591717
NLRC3	NM_178844	16	3589035	3627392
RETNLB	NM_032579	3	108474485	108476130
HES7	NM_001165967	17	8023907	8027410
LCN8	NM_178469	9	139648839	139652731
MRPL24	NM_145729	1	156707093	156710923
RAET1L	NM_130900	6	150341265	150346668
ARHGAP8	NM_001017526	22	45148437	45258664
DCAF4	NM_015604	14	73393039	73426357
KAAG1	NM_181337	6	24357130	24358512
LEMD2	NM_181336	6	33738989	33756906
RAD17	NM_002873	5	68665123	68710630
GKN2	NM_182536	2	69172363	69180102
C1orf86	NM_001146310	1	2115898	2139172
IFNL4	NM_001276254	19	39736953	39739496
CT47A11	NM_173571	X	120011344	120114778
NYAP1	NM_173564	7	100081549	100092424
SNRNP35	NM_022717	12	123942650	123950941
ZMYND11	NM_006624	10	180404	300577
ANO4	NM_178826	12	101188373	101522419
RGPD5	NM_005054	2	110550334	113191107
EMC8	NM_006067	16	85812230	85833148
C3orf55	NM_001130002	3	157261132	157319021
MINOS1	NM_001204083	1	19923470	19956315
STK24	NM_001032296	13	99102454	99229396
FAM229B	NM_001033564	6	112408673	112423993
UBR2	NM_015255	6	42531759	42661243
PARD3	NM_019619	10	34398487	35104253
EIF2B3	NM_020365	1	45316193	45452394
PDGFA	NM_002607	7	536896	559481
RPS24	NM_001142285	10	79793517	79816571
TRIM33	NM_015906	1	114935398	115053781
CDK16	NM_033018	X	47077527	47089394
RERG	NM_032918	12	15260715	15374411
TRIM4	NM_033017	7	99488029	99517223
PDGFB	NM_002608	22	39619684	39640957
FASTK	NM_006712	7	150773707	150777970
OGN	NM_033014	9	95146248	95166937
