Gene	Chromosome	Start	End	Canonical
OR4F5	1	69090	70008	NM_001005484
OR4F29	1	450739	181368225	NM_001005221
OR4F3	1	450739	181368225	NM_001005224
OR4F16	1	450739	181368225	NM_001005277
SAMD11	1	925941	944153	NM_152486
GNPNAT1	14	52778310	52784650	NM_198066
ANKRD36	2	97113739	97250167	NM_001164315
TRPV6	7_KI270803v1_alt	894747	142885636	NM_018646
SLC47A1	17	19533939	19577553	NM_018242
PERM1	1	976171	982117	NM_001291366
HCFC1R1	16	3022862	3023941	NM_017885
AGRN	1	1020172	1054981	NM_001305275
SVBP	1	42807413	42816544	NM_199342
ISM2	14	77475594	77498793	NM_199296
THSD1	13	52377410	52402600	NM_018676
LINC02054	3	93936	184439392	NM_001322103
POLE2	14	49643651	49688203	NM_001348385
GOLM1	9	86027816	86079320	NM_016548
B3GALNT1	3	161085758	161104342	NM_001349145
CEP128	14	80497478	80916547	NM_152446
CHAT	10	49614189	49665046	NM_001142933
DLC1	8	13085810	13500071	NM_182643
MBOAT7	19_GL949751v2_alt	148815	54188508	NM_024298
PSG11	19	43009997	43026372	NM_002785
PIK3R5	17	8880638	8911494	NM_001251851
CDKL3	5	134298650	134366523	NM_001113575
UBE2W	8	73780479	73878909	NM_001001481
FAM107B	10	14521189	14774663	NM_001282695
ASTN1	1	176857610	177164676	NM_004319
ZNF557	19	7075074	7083744	NM_024341
TAS1R3	1	1331345	1334464	NM_152228
AHSG	3	186613141	186620930	NM_001622
FBXW7	4	152322880	152411803	NM_001349798
KCNH7	2	162371828	162838518	NM_033272
RNF17	13	24764203	24879285	NM_031277
MTMR10	15_KI270905v1_alt	3227198	30991506	NM_017762
TMEM39B	1	32073047	32102673	NM_001319677
CCNL2	1	1387230	1399306	NM_001320153
ANKRD65	1	1419099	1421005	NM_001145210
NDRG4	16	58464430	58511576	NM_001130487
VWA1	1	1435748	1439787	NM_022834
FAIM	3	138610957	138633079	NM_001033030
NOP16	5	176383980	176388539	NM_001317975
RDH11	14	67678320	67695703	NM_016026
UGP2	2	63842185	63891227	NM_006759
TMEM240	1	1535358	1540346	NM_001114748
UQCR10	22	29767398	29769719	NM_001003684
MITF	3	69739597	69965248	NM_198159
LINC02210-CRHR1	17_GL000258v2_alt	518680	45834813	NM_001256299
ZNF556	19	2867421	2878329	NM_024967
MICAL2	11	12162155	12262520	NM_001282666
GBF1	10	102258938	102382336	NM_004193
CDK11B	1	1635763	1657485	NM_033489
SLC5A11	16	24858643	24911533	NM_001258411
CCNT2	2	134918854	134954648	NM_001320748
CNTROB	17	7933079	7949510	NM_001037144
SLC35E2B	1	1665781	1676699	NM_001290264
SALL4	20	51784264	51802408	NM_020436
SPAG4	20	35616003	35621022	NM_001317931
KIFC3	16	57758883	57803012	NM_001318714
AP1AR	4	112232091	112268409	NM_018569
BRCA1	17	43045677	43124096	NM_007300
SLC35E2	1	1725413	1739557	NM_182838
NADK	1	1752903	1765406	NM_001198994
ZNF614	19	52015839	52025745	NM_025040
EYA3	1	27974465	28058026	NM_001990
ZCCHC17	1	31297081	31364221	NM_001282568
CD63	12	55725560	55728341	NM_001257389
USO1	4	75724819	75813295	NM_001290049
GALK2	15	49155996	49328159	NM_001289030
DET1	15	88512950	88536334	NM_017996
CAMK2D	4	113454511	113761068	NM_001321569
ATF2	2	175074608	175136443	NM_001256090
FAM168B	2	131052902	131082646	NM_001321743
FAAP20	1	2185277	2201098	NM_001282670
GTF3C1	16	27461349	27549890	NM_001520
SEPT10	2	109544121	109613827	NM_001321513
EMX2	10	117543267	117548232	NM_004098
WASHC2A	10	50068005	50132945	NM_001005751
ATP8A2	13	25372212	26019985	NM_016529
MECOM	3	169084908	169663372	NM_001164000
TNFRSF14	1	107854	2563273	NM_003820
DCAF6	1	167936911	168075435	NM_001198956
RBM14-RBM4	11	66616720	66646046	NM_001198845
ACTRT2	1	3021686	3022820	NM_080431
KIR2DL3	19_KI270938v1_alt	12720	54767347	NM_015868
PRDM2	1	13715605	13823184	NM_012231
YWHAB	20	44901533	44906438	NM_003404
PSME1	14	24136262	24138816	NM_176783
CCT6B	17	34928047	34961393	NM_006584
TAPBP	6_GL000255v2_alt	4496187	33314041	NM_003190
T	6	166158314	166167591	NM_003181
TLR3	4	186076619	186084873	NM_003265
AGFG2	7	100539346	100564991	NM_006076
TRIM22	11	5696232	5709648	NM_006074
RASA4	7	102582770	102616689	NM_006989
SPAM1	7	123953570	123970248	NM_003117
INPP4A	2	98520048	98587608	NM_001134224
DRG2	17	18088023	18107240	NM_001388
OSBPL10	3	31662071	31981179	NM_017784
PLA2G6	22	38112160	38169426	NM_001349867
CCDC27	1	3752481	3771523	NM_152492
CBLL1	7	107744163	107759178	NM_024814
GUSB	7	65960896	65982183	NM_000181
EWSR1	22	29268336	29300161	NM_013986
MUTYH	1	45329305	45340254	NM_001128425
FCGR3A	1	161543011	161550051	NM_000569
KIR2DL4	19_KI270884v1_alt	44093	54814111	NM_002255
ACP6	1	147647422	147670048	NM_001323625
PRRC2A	6_GL000256v2_alt	2870556	31637586	NM_004638
ZMYM2	13	19993072	20086014	NM_003453
EFCAB14	1	46678460	46718087	NM_014774
GSTM4	1	109656389	109665031	NM_000850
C9orf72	9	27548235	27567120	NM_001256054
MBNL2	13	97276235	97391449	NM_144778
APOL3	22	36141199	36160891	NM_145641
ANTXR1	2	69013499	69245485	NM_032208
PLXNA2	1	208027242	208217922	NM_025179
HLA-DPA1	6	4263281	33073570	NM_001242524
PLEKHG5	1	6467562	6519511	NM_198681
HPCAL4	1	39682535	39684603	NM_016257
AKAP11	13	42286348	42319228	NM_016248
TAS1R1	1	6555373	6579584	NM_138697
KIR3DL2	19	2059	54866731	NM_006737
AK6	5_GL339449v2_alt	135253	69369675	NM_001015891
CARS	11_KI270831v1_alt	232175	3057367	NM_001194997
FFAR3	19	35358890	35359931	NM_005304
FNDC11	20	63555663	63556620	NM_024059
SMC3	10	110567816	110604302	NM_005445
PHF13	1	6614066	6621637	NM_153812
THAP3	1	6625218	6634088	NM_138350
STRA6	15	74180079	74209454	NM_001199042
CEP55	10	93500051	93528153	NM_018131
PER3	1	7784877	7842755	NM_001289864
RAD54L2	3	51590420	51663420	NM_001322253
UBD	6_GL000252v2_alt	821038	29559701	NM_006398
SLC45A1	1	8318108	8344013	NM_001080397
FRG2B	10	133625098	133626742	NM_001080998
REPS2	X	16946861	17147481	NM_004726
LRRIQ1	12	85038176	85244941	NM_001079910
LYPLA2	1	23792682	23794732	NM_007260
ZFP62	5	180848791	180861219	NM_152283
ARHGAP33	19	35775658	35788429	NM_001172630
CEBPB	20	50191033	50192071	NM_005194
BACE1	11	117289565	117315795	NM_012104
ANKDD1B	5	75611634	75671040	NM_001276713
TP53	17	7669608	7676594	NM_001126114
NRXN3	14	78243093	79861964	NM_001330195
DDX31	9	132594865	132670249	NM_001322341
RHO	3	129528733	129533718	NM_000539
XPNPEP1	10	109865154	109923433	NM_001324136
MAN2B1	19	12646619	12666701	NM_000528
GFRA3	5	138252967	138274424	NM_001496
ZRANB3	2	135200341	135504489	NM_001286569
TMEM201	1	9588930	9613083	NM_001010866
HMGA2	12	65825270	65963292	NM_003483
ENTPD5	14	73959529	73988102	NM_001321988
KIF3C	2	25928977	25981917	NM_002254
GATA4	8	11708312	11758475	NM_002052
TICRR	15	89575586	89627086	NM_152259
CLEC5A	7	141930103	141946292	NM_013252
TMEM209	7	130166450	130205375	NM_032842
SERPINF1	17	1766910	1777446	NM_002615
OAS1	12	112907039	112931922	NM_016816
AJAP1	1	4655425	4774499	NM_018836
LZIC	1	9922254	9942735	NM_032368
SNX10	7	26346442	26372572	NM_001318198
DNAJB4	1	77992775	78016247	NM_001317100
MOB1A	2	74156567	74178674	NM_018221
UNC80	2	209772072	209995595	NM_032504
NMNAT1	1	9972073	9982701	NM_001297778
HBA1	16	176716	177411	NM_000558
YWHAZ	8	100920692	100948889	NM_145690
SMIM19	8	42546472	42552608	NM_001135674
RING1	6_GL000253v2_alt	4403230	33212399	NM_002931
VGLL2	6	117265763	117272494	NM_182645
ORAOV1	11	69667518	69675239	NM_153451
NLRP5	19	55999725	56061528	NM_153447
OR5P2	11	16841	7796942	NM_153444
PPARGC1B	5	149730342	149847558	NM_133263
HSD17B7	1	162790800	162812420	NM_016371
SRP14	15	40036332	40039116	NM_001309434
CX3CL1	16	57372568	57383032	NM_002996
PGD	1	10399117	10419749	NM_001304452
TRIM13	13	50001105	50013164	NM_213590
VAMP2	17	8160854	8162879	NM_001330125
CYP21A2	6_GL000255v2_alt	3261657	32041134	NM_000500
MORC3	21	36320264	36375296	NM_001320446
C1orf127	1	10947662	10982037	NM_001170754
CD69	12	9753480	9760820	NM_001781
LENG1	19_GL949748v2_alt	130570	54159695	NM_024316
AGL	1	99851042	99921651	NM_000028
RCC1	1	28529866	28538007	NM_001048199
ITSN1	21	33718828	33888300	NM_001331010
HPN	19	35042506	35066287	NM_182983
HOXB5	17	48592208	48593682	NM_002147
VMP1	17	59731446	59839911	NM_001329394
DISP3	1	11500992	11536686	NM_020780
DNTT	10	96304497	96338224	NM_004088
LHFPL5	6	35805670	35819447	NM_182548
