gene	canonical	chrom	start	end
OR4F5	NM_001005484	1	69090	70008
OR4F29	NM_001005221	1	450739	181368225
OR4F3	NM_001005224	1	450739	181368225
OR4F16	NM_001005277	1	450739	181368225
SAMD11	NM_152486	1	925740	944581
GNPNAT1	NM_198066	14	52775192	52791668
ANKRD36	NM_001164315	2	97113495	97264520
SLC47A1	NM_018242	17	19533853	19579033
PERM1	NM_001291366	1	975198	982117
HCFC1R1	NM_017885	16	3022619	3024286
AGRN	NM_001305275	1	1020122	1056119
SVBP	NM_199342	1	42807051	42817388
ISM2	NM_199296	14	77474394	77498867
THSD1	NM_018676	13	52377167	52406494
LINC02054	NM_001322103	3	184401536	184439648
POLE2	NM_001348385	14	49643551	49688380
GOLM1	NM_016548	9	86026142	86100201
B3GALNT1	NM_001349145	3	161083882	161105372
CEP128	NM_152446	14	80496477	80939540
CHAT	NM_001142933	10	49609094	49665104
DLC1	NM_182643	8	13083362	13604616
PSG11	NM_002785	19	43007656	43026479
PIK3R5	NM_001251851	17	8878915	8965712
CDKL3	NM_001113575	5	134298423	134371047
UBE2W	NM_001001481	8	73780096	73878910
FAM107B	NM_001282695	10	14518556	14774897
ASTN1	NM_004319	1	176857304	177164904
ZNF557	NM_024341	19	7069459	7087967
TAS1R3	NM_152228	1	1331345	1335320
AHSG	NM_001622	3	186613060	186621318
FBXW7	NM_001349798	4	152321257	152536095
KCNH7	NM_033272	2	162371406	162838747
RNF17	NM_031277	13	24764162	24879920
TMEM39B	NM_001319677	1	32072030	32102866
CCNL2	NM_001320153	1	1385710	1399342
ANKRD65	NM_001145210	1	1418419	1421444
NDRG4	NM_001130487	16	58463644	58513619
VWA1	NM_022834	1	1435522	1442882
FAIM	NM_001033030	3	138608699	138633371
NOP16	NM_001317975	5	176383936	176388927
RDH11	NM_016026	14	67676800	67695793
UGP2	NM_006759	2	63840963	63891562
TMEM240	NM_001114748	1	1534777	1540360
UQCR10	NM_001003684	22	29767368	29770413
MITF	NM_198159	3	69739434	69968337
ZNF556	NM_024967	19	2867334	2878505
MICAL2	NM_001282666	11	12110575	12263790
GBF1	NM_004193	10	102245497	102382899
CDK11B	NM_033489	1	1635225	1659097
SLC5A11	NM_001258411	16	24845862	24911628
CCNT2	NM_001320748	2	134918821	134959345
CNTROB	NM_001037144	17	7932123	7949919
SLC35E2B	NM_001290264	1	1661477	1692804
SALL4	NM_020436	20	51782716	51802523
SPAG4	NM_001317931	20	35615883	35621094
KIFC3	NM_001318714	16	57758216	57803024
AP1AR	NM_018569	4	112231738	112273111
BRCA1	NM_007300	17	43044294	43125483
SLC35E2	NM_182838	1	1724837	1745999
NADK	NM_001198994	1	1751231	1780069
ZNF614	NM_025040	19	52013323	52028427
EYA3	NM_001990	1	27970343	28088637
ZCCHC17	NM_001282568	1	31296981	31364953
CD63	NM_001257389	12	55725442	55729673
USO1	NM_001290049	4	75724521	75814289
GALK2	NM_001289030	15	49155758	49329805
DET1	NM_017996	15	88512480	88546703
CAMK2D	NM_001321569	4	113451031	113761927
ATF2	NM_001256090	2	175072249	175168206
FAM168B	NM_001321743	2	131047875	131093460
FAAP20	NM_001282670	1	2184459	2212720
GTF3C1	NM_001520	16	27460612	27549930
SEPT10	NM_001321513	2	109542796	109614206
EMX2	NM_004098	10	117542444	117549546
WASHC2A	NM_001005751	10	50067887	50133509
ATP8A2	NM_016529	13	25372010	26025851
MECOM	NM_001164000	3	169083498	169663775
TNFRSF14	NM_003820	1	2556364	2565622
DCAF6	NM_001198956	1	167936238	168075843
